ref,from,to,opening-hours,via,intermediates,exceptions,duration,frequency,intermediate-durations
31,Abeka Lapaz,37,Mo-Sa 05:00-10:00,,Abeka Lapaz (Nii Boi);Achimota Overhead;Abofu;CP;Abelenkpe Junction;Dzorwulu Junction;Ebony;Roman Ridge 2nd;Pig Farm Junction;Accra Girls;Kankudi;Culture;37 First Gate;37 Last Stop;37,,30.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0
31,37,Abeka Lapaz,Mo-Sa 05:00-10:00,,37;Culture;Roman Ridge;Ebony;Dzorwulu Junction;Abelenkpe Junction;Abofu;Achimota Overhead;Akweteyman;Fly Top;Lapaz Market;Bambolino;Nii Boi Town Junction;Abeka Lapaz,,26.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0
282,Kaneshie,Shalom,Mo-Sa 05:00-10:00,,Kaneshie;Zongo Junction;Pipeier Naa;Black Smith;Radio Gold;Salvation Army;Sempe First;Sempe Second;Mamprobi Station;Mamprobi Shell;Market;Banku Junction;Duanase;White House;White House;Hotel Junction;Ejas;Shalom,,26.0,3.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0
282,Shalom,Kaneshie,Mo-Sa 05:00-10:00,,Shalom;Asoredan ho;Market;Market Junction;Shell;Mamprobi Station;Sempe First;Sempe Second;Salvation Army;Korle Bu Junction;Radio Gold;Black Smith;Pipeier Naa;Kasoa Station;Zongo Junction;Asoredan ho;Dansoman Junction;Kaneshie,,22.0,3.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0
56,Abeka Lapaz,Race Course,Mo-Sa 05:00-10:00,,Abeka Lapaz;Lapaz Market;Tabora Number 3;Tabora Number2;Ahenfie;School Junction Race Course;Container Race Course;Attah Junction;Rasta Junction;Gyedu Junction;Appiah Junction;Phobia Junction;Race Course,,18.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0
56,Race Course,Abeka Lapaz,Mo-Sa 05:00-10:00,,Race Course;Gyedu Junction;Rasta Junction;Attah Junction;Container Race Course;School Junction Race Course;Race Course Blue Gate;Ahenfie;Tabora Number2;Tabora Number 3;Lapaz Market;Lapaz Community Junction;Lapaz Community Hospital;Lapaz Masalaashie;Lapaz Last stop;Lapaz Station;Abeka Lapaz,,18.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0
11,Circle Accra,Abeka Lapaz,Mo-Sa 05:00-10:00,,Circle;Circle Overhead;Circle;Circle Asoredanho;Caprice;Alajo;Abeka Junction;Abeka Junction Curve;Total;Total Curve;Adom Junction;Free Pipe;Abeka Main Market;Eno;Fadama Junction;Abeka Post Office;Abotare;Abeka Lapaz Last Stop,,42.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0
11,Abeka Lapaz,Circle Accra,Mo-Sa 05:00-10:00,,Abeka Lapaz;Abeka Post Office;Fadama Junction;Eno;Fadama;Abeka Main Market;Free Pipe;Adom Junction;Total;Abeka Junction Curve;Abeka Junction;CAT;Alajo;Caprice;Circle Asoredanho;Circle,,37.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0
15,Dome Kwabenya,Abeka Lapaz,Mo-Sa 05:00-10:00,,Kwabenya;Atomic Junction;Born Again;Gym;Dome Old Station;Dome Crossing;Adehyeman;Dome Market;St. Johns;Tantra Hills;Mile 7 Junction;Presby Junction;Mile 7 Park;Jesus and Mary;Mile 7 Clinic;T-Junction Down;Mile 7 T-Junction Top;Family Life;Fishpond;High Tension;Nii Boi Station;Container;MTN;Abeka Lapaz,,53.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0
15,Abeka Lapaz,Dome Kwabenya,Mo-Sa 05:00-10:00,,Abeka Lapaz;Fishpond;St. Johns;Family Life;Mile 7 T-Junction;High Tension;Mile 7 Clinic;Jesus and Mary;Masalaashi;Mile 7 Park;Presby Junction;Mile 7 Junction;Best Point;Achimota Mall;Dome Market;Adehyeman;Dome Crossing;Dome Old Station;Dome Mobil;Gym;Born again;Dome New Station;Atomic First;Atomic Second;Stores;Point 1;Point 2;Mosuku Junction;White House;Oscar Junction;Kwabenya Market;Kwabenya,,52.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0
