freq,to,fr,ref,dur
8,Circle Lido,Abeka Lapaz,216,33
8,Abeka Lapaz,Circle Lido,216,50
5,Circle,WAEC,214,11
5,WAEC,Circle,214,15
5,Circle,Accra New Tema Station,212,21
5,Accra New Tema Station,Circle,212,30
10,Appiah Danquah,Accra Salaga,474,20
10,Accra Salaga,Appiah Danquah,474,20
5,Teachers Hall,Circle,210,16
5,Circle,Teachers Hall,210,8
10,Tema (Motorway),Circle,211,78
10,Circle,Tema (Motorway),211,92
5,Circle Overhead,Abeka Lapaz,219,31
5,Abeka Lapaz,Circle Overhead,219,29
15,Manhean,Accra CMB,227,75
15,Accra CMB,Manhean,227,94
20,Sapeiman,Abeka Lapaz,16,47
20,Abeka Lapaz,Sapeiman,16,42
10,Pigfarm,Circle,226,19
10,Circle,Pigfarm,226,24
40,Sukura,Nima-Mamobi,490,39
40,Nima-Mamobi,Sukura,490,39
55,Fan-Milk,Accra CMB,225,78
55,Accra CMB,Fan-Milk,225,78
10,Tabora Alhaji,Kaneshie Station,492,58
10,Kaneshie Station,Tabora Alhaji,492,48
10,Accra U.T.C,Abeka Main Market,26,50
10,Abeka Main Market,Accra U.T.C,26,46
5,Kaneshie,Atico,167,16
5,Atico,Kaneshie,167,13
5,Accra UTC,Abeka Lapaz,20,46
5,Abeka Lapaz,Accra UTC,20,36
40,Dome,Abeka Lapaz,21,26
40,Abeka Lapaz,Dome,21,33
20,Teshie Nungua,Abeka Lapaz,23,111
20,Abeka Lapaz,Teshie Nungua,23,83
30,Circle Industrial Area,Abeka Main Market,28,25
30,Abeka Main Market,Circle Indust. Area,28,35
5,Kaneshie,Abeka Main Market,29,29
5,Abeka Main Market,Kaneshie,29,26
20,Santa Maria,Abeka Lapaz,344,18
20,Abeka Lapaz,Santa Maria,344,25
20,Nima Overhead,Mallam,406,57
20,Mallam,Nima Overhead,406,84
5,Zongo Junction,Agege,540,20
5,Agege,Zongo Junction,540,27
60,Nima Overhead,Dome Railway Crossing,404,44
60,Dome Railway Crossing,Nima Overhead,404,55
5,Nima Overhead,Awoshie Last Stop,402,40
5,Awoshie Last Stop,Nima Overhead,402,53
40,Nima Overhead,Israel Lomnava,401,48
40,Israel Lomnava,Nima Overhead,401,36
5,Race Course,Abeka Lapaz,343,12
5,Abeka Lapaz,Race Course,343,18
30,Russia,Kaneshie,281,49
30,Kaneshie,Russia,281,32
20,Tema Community One Market,Abeka Lapaz,8,45
20,Abeka Lapaz,Tema Community One Market,8,60
10,Makola Tudu,Kaneshie Foot Bridge,283,40
10,Kaneshie Foot Bridge,Makola Tudu,283,40
3,Shalom,Kaneshie,282,26
3,Kaneshie,Shalom,282,22
15,Tetteh Quarshie,Abeka Lapaz,348,26
15,Abeka Lapaz,Tetteh Quarshie,348,35
5,Kaneshie Market Station,Agyapa Ye North Kaneshie,284,19
5,Agyapa Ye North Kaneshie,Kaneshie Market Station,284,15
10,North Industrial Area,Kaneshie Market Station,287,17
10,Kaneshie Market Station,North Industrial Area,287,14
40,Pokuase Amasaman,Nima Overhead,408,86
40,Nima Overhead,Pokuase Amasaman,408,67
20,Zamrama Line,Accra New Tema Station,995,34
20,Accra New Tema Station,Zamrama Line,995,45
40,Chemuna,Accra Rawlings Park,994,17
40,Accra Rawlings Park,Chemuna,994,17
10,Nima - Maamobi,Circle,996,50
10,Circle,Nima - Maamobi,996,50
15,SSNIT Flats,Circle Odorna,990,48
15,Circle Odorna,SSNIT Flats,990,44
30,Circle,Osu,454,25
30,Osu,Circle,454,17
35,Trade Fair (La),Accra New Tema Station,523,39
35,Accra New Tema Station,Trade Fair (La),523,26
8,Sowutuom,Abeka Lapaz,999,27
8,Abeka Lapaz,Sowutuom,999,27
15,Circle Overhead,Ashaiaman,998,56
15,Ashaiaman,Circle Overhead,998,61
25,Glefe,Accra Bishop,262,53
25,Accra Bishop,Glefe,262,67
40,Ebenezer,Accra Bishop,260,32
40,Accra Bishop,Ebenezer,260,43
7,Kaneshie,Appiah Danquah/ Soko,267,26
